checkpoint,debug_step,agent,channel_idx,channel_label,n_samples,p50,p90,p95,p99,max,mean
agent_120000.pt,119000,drone_0,0,vx,5118976,0.019269153475761414,0.11525796353816986,0.2324041724205017,0.5158833861351013,1.9269084930419922,0.04963621869683266
agent_120000.pt,119000,drone_0,1,vy,5118976,0.02045205980539322,0.10784533619880676,0.2097519040107727,0.5107647776603699,2.0,0.048835817724466324
agent_120000.pt,119000,drone_0,2,vz,5118976,0.0362585186958313,0.1410018503665924,0.23803025484085083,0.5270155668258667,2.0,0.06529872119426727
agent_120000.pt,119000,drone_0,3,yaw_rate,5118976,0.018111441284418106,0.07978419959545135,0.15078887343406677,0.3307230472564697,1.3219135999679565,0.036893244832754135
agent_120000.pt,119000,drone_0,4,gimbal_yaw_rate,5118976,0.02676386386156082,0.12721970677375793,0.2288174033164978,0.48835232853889465,1.7905223369598389,0.05574604868888855
agent_120000.pt,119000,drone_0,5,gimbal_pitch_rate,5118976,0.03236330300569534,0.12981735169887543,0.20450973510742188,0.3941305875778198,1.5304694175720215,0.05666743963956833
agent_120000.pt,119000,drone_0,6,zoom_rate,5118976,0.02685793861746788,0.11042213439941406,0.22010794281959534,0.5918991565704346,2.0,0.056490857154130936
agent_120000.pt,119000,drone_1,0,vx,5118976,0.019273340702056885,0.11508005857467651,0.23333333432674408,0.5166580677032471,1.9816714525222778,0.04967080056667328
agent_120000.pt,119000,drone_1,1,vy,5118976,0.02042638510465622,0.10781479626893997,0.21174359321594238,0.5168269276618958,2.0,0.04903737083077431
agent_120000.pt,119000,drone_1,2,vz,5118976,0.036308981478214264,0.1416894495487213,0.24023333191871643,0.5316643714904785,2.0,0.06563826650381088
agent_120000.pt,119000,drone_1,3,yaw_rate,5118976,0.01816169172525406,0.0805048868060112,0.15272092819213867,0.33353596925735474,1.5507259368896484,0.03714703768491745
agent_120000.pt,119000,drone_1,4,gimbal_yaw_rate,5118976,0.026850972324609756,0.12833653390407562,0.2308167815208435,0.4910324513912201,1.9526335000991821,0.05606907606124878
agent_120000.pt,119000,drone_1,5,gimbal_pitch_rate,5118976,0.03239168971776962,0.13051313161849976,0.20539376139640808,0.3947296440601349,1.358965277671814,0.05681756138801575
agent_120000.pt,119000,drone_1,6,zoom_rate,5118976,0.02673627808690071,0.11016862839460373,0.2228764295578003,0.5991188287734985,2.0,0.056643325835466385
