checkpoint,debug_step,agent,channel_idx,channel_label,n_samples,p50,p90,p95,p99,max,mean
agent_80000.pt,79000,drone_0,0,vx,5118976,0.023542940616607666,0.1181676834821701,0.21759119629859924,0.47546884417533875,1.7484924793243408,0.05139964818954468
agent_80000.pt,79000,drone_0,1,vy,5118976,0.0232083797454834,0.11443032324314117,0.20957952737808228,0.48472803831100464,1.875833511352539,0.05085113272070885
agent_80000.pt,79000,drone_0,2,vz,5118976,0.03993988037109375,0.13823068141937256,0.21840322017669678,0.47741252183914185,2.0,0.06535610556602478
agent_80000.pt,79000,drone_0,3,yaw_rate,5118976,0.031820498406887054,0.12234630435705185,0.20578674972057343,0.44007736444473267,1.624932050704956,0.056648269295692444
agent_80000.pt,79000,drone_0,4,gimbal_yaw_rate,5118976,0.03389720246195793,0.1270480453968048,0.21024911105632782,0.46470320224761963,1.7312393188476562,0.0596025176346302
agent_80000.pt,79000,drone_0,5,gimbal_pitch_rate,5118976,0.045379653573036194,0.1589551866054535,0.23786453902721405,0.45978331565856934,1.6887240409851074,0.07207061350345612
agent_80000.pt,79000,drone_0,6,zoom_rate,5118976,0.02802610769867897,0.11300599575042725,0.19213059544563293,0.45298027992248535,2.0,0.05283915624022484
agent_80000.pt,79000,drone_1,0,vx,5118976,0.023553892970085144,0.11782479286193848,0.21709416806697845,0.4737951457500458,1.8638932704925537,0.05127823352813721
agent_80000.pt,79000,drone_1,1,vy,5118976,0.02320927381515503,0.11440262198448181,0.20918962359428406,0.4845671057701111,1.8911415338516235,0.050819408148527145
agent_80000.pt,79000,drone_1,2,vz,5118976,0.03989165648818016,0.13796691596508026,0.2178821712732315,0.4746088683605194,1.9842839241027832,0.0652073547244072
agent_80000.pt,79000,drone_1,3,yaw_rate,5118976,0.03180403262376785,0.12238674610853195,0.20603734254837036,0.44199854135513306,1.686582326889038,0.05670352280139923
agent_80000.pt,79000,drone_1,4,gimbal_yaw_rate,5118976,0.03403520956635475,0.12793639302253723,0.21101824939250946,0.4639148414134979,1.6963127851486206,0.059802379459142685
agent_80000.pt,79000,drone_1,5,gimbal_pitch_rate,5118976,0.04568769037723541,0.1598997414112091,0.23921945691108704,0.4626043438911438,1.7843174934387207,0.07252784818410873
agent_80000.pt,79000,drone_1,6,zoom_rate,5118976,0.028139658272266388,0.11341255903244019,0.1931929737329483,0.4515199363231659,2.0,0.053008101880550385
