checkpoint,debug_step,agent,channel_idx,channel_label,n_samples,p50,p90,p95,p99,max,mean
agent_120000.pt,119000,drone_0,0,vx,5118976,0.019269153475761414,0.11525796353816986,0.2324041724205017,0.5158833861351013,1.9269084930419922,0.04963621869683266
agent_120000.pt,119000,drone_0,1,vy,5118976,0.02045205980539322,0.10784533619880676,0.2097519040107727,0.5107647776603699,2.0,0.048835817724466324
agent_120000.pt,119000,drone_0,2,vz,5118976,0.0362585186958313,0.1410018503665924,0.23803025484085083,0.5270155668258667,2.0,0.06529872119426727
agent_120000.pt,119000,drone_0,3,yaw_rate,5118976,0.018111441284418106,0.07978419959545135,0.15078887343406677,0.3307230472564697,1.3219135999679565,0.036893244832754135
agent_120000.pt,119000,drone_0,4,gimbal_yaw_rate,5118976,0.02676386386156082,0.12721970677375793,0.2288174033164978,0.48835232853889465,1.7905223369598389,0.05574604868888855
agent_120000.pt,119000,drone_0,5,gimbal_pitch_rate,5118976,0.03236330300569534,0.12981735169887543,0.20450973510742188,0.3941305875778198,1.5304694175720215,0.05666743963956833
agent_120000.pt,119000,drone_0,6,zoom_rate,5118976,0.02685793861746788,0.11042213439941406,0.22010794281959534,0.5918991565704346,2.0,0.056490857154130936
agent_120000.pt,119000,drone_1,0,vx,5118976,0.019273340702056885,0.11508005857467651,0.23333333432674408,0.5166580677032471,1.9816714525222778,0.04967080056667328
agent_120000.pt,119000,drone_1,1,vy,5118976,0.02042638510465622,0.10781479626893997,0.21174359321594238,0.5168269276618958,2.0,0.04903737083077431
agent_120000.pt,119000,drone_1,2,vz,5118976,0.036308981478214264,0.1416894495487213,0.24023333191871643,0.5316643714904785,2.0,0.06563826650381088
agent_120000.pt,119000,drone_1,3,yaw_rate,5118976,0.01816169172525406,0.0805048868060112,0.15272092819213867,0.33353596925735474,1.5507259368896484,0.03714703768491745
agent_120000.pt,119000,drone_1,4,gimbal_yaw_rate,5118976,0.026850972324609756,0.12833653390407562,0.2308167815208435,0.4910324513912201,1.9526335000991821,0.05606907606124878
agent_120000.pt,119000,drone_1,5,gimbal_pitch_rate,5118976,0.03239168971776962,0.13051313161849976,0.20539376139640808,0.3947296440601349,1.358965277671814,0.05681756138801575
agent_120000.pt,119000,drone_1,6,zoom_rate,5118976,0.02673627808690071,0.11016862839460373,0.2228764295578003,0.5991188287734985,2.0,0.056643325835466385
agent_200000.pt,119000,drone_0,0,vx,5118976,0.04160958528518677,0.20365819334983826,0.28775811195373535,0.5191645622253418,2.0,0.07973211258649826
agent_200000.pt,119000,drone_0,1,vy,5118976,0.04793350398540497,0.2856568396091461,0.41954106092453003,0.7806038856506348,2.0,0.10680787265300751
agent_200000.pt,119000,drone_0,2,vz,5118976,0.04465262591838837,0.18731988966464996,0.2678067684173584,0.5236209630966187,2.0,0.07886995375156403
agent_200000.pt,119000,drone_0,3,yaw_rate,5118976,0.032701507210731506,0.14038819074630737,0.20074591040611267,0.3776274025440216,1.4797308444976807,0.058546971529722214
agent_200000.pt,119000,drone_0,4,gimbal_yaw_rate,5118976,0.02976205199956894,0.12985137104988098,0.18742135167121887,0.369767963886261,1.5304677486419678,0.054704051464796066
agent_200000.pt,119000,drone_0,5,gimbal_pitch_rate,5118976,0.03339105844497681,0.14396686851978302,0.19453215599060059,0.3208959102630615,1.1533831357955933,0.05791359394788742
agent_200000.pt,119000,drone_0,6,zoom_rate,5118976,0.049675196409225464,0.22346098721027374,0.32101207971572876,0.6659826040267944,2.0,0.093463234603405
agent_200000.pt,119000,drone_1,0,vx,5118976,0.03999856114387512,0.20144717395305634,0.2854939103126526,0.5192165374755859,2.0,0.07842043042182922
agent_200000.pt,119000,drone_1,1,vy,5118976,0.046257250010967255,0.285642147064209,0.4211098551750183,0.7846968173980713,2.0,0.10609971731901169
agent_200000.pt,119000,drone_1,2,vz,5118976,0.04290866106748581,0.18439337611198425,0.2651960253715515,0.5254564881324768,2.0,0.07738655060529709
agent_200000.pt,119000,drone_1,3,yaw_rate,5118976,0.03131837770342827,0.13892203569412231,0.19972378015518188,0.37920963764190674,1.5332763195037842,0.05748222395777702
agent_200000.pt,119000,drone_1,4,gimbal_yaw_rate,5118976,0.028501931577920914,0.12646019458770752,0.18291886150836945,0.3683507442474365,1.4850664138793945,0.053214482963085175
agent_200000.pt,119000,drone_1,5,gimbal_pitch_rate,5118976,0.031835757195949554,0.14175096154212952,0.19276675581932068,0.3206077516078949,1.063793659210205,0.05653226003050804
agent_200000.pt,119000,drone_1,6,zoom_rate,5118976,0.04821120202541351,0.22142799198627472,0.3210334777832031,0.676863968372345,2.0,0.09243230521678925
agent_200000.pt,199000,drone_0,0,vx,5118976,0.05162537842988968,0.21013197302818298,0.28782594203948975,0.49751919507980347,1.9955713748931885,0.08552668243646622
agent_200000.pt,199000,drone_0,1,vy,5118976,0.058730557560920715,0.27663886547088623,0.38726410269737244,0.688217043876648,2.0,0.10763322561979294
agent_200000.pt,199000,drone_0,2,vz,5118976,0.05637339502573013,0.20579993724822998,0.2826778292655945,0.5074476599693298,2.0,0.08852636069059372
agent_200000.pt,199000,drone_0,3,yaw_rate,5118976,0.040971606969833374,0.1474853754043579,0.20523105561733246,0.37620386481285095,1.6882270574569702,0.0647350400686264
agent_200000.pt,199000,drone_0,4,gimbal_yaw_rate,5118976,0.0409155935049057,0.14864574372768402,0.2051553577184677,0.36706340312957764,1.4909840822219849,0.06464115530252457
agent_200000.pt,199000,drone_0,5,gimbal_pitch_rate,5118976,0.03927307575941086,0.13713882863521576,0.18262487649917603,0.29772356152534485,1.0821914672851562,0.05926068127155304
agent_200000.pt,199000,drone_0,6,zoom_rate,5118976,0.05483001470565796,0.21396055817604065,0.29768747091293335,0.5733398199081421,2.0,0.09143778681755066
agent_200000.pt,199000,drone_1,0,vx,5118976,0.05519402027130127,0.22434163093566895,0.30504441261291504,0.5204989910125732,1.9318969249725342,0.09086431562900543
agent_200000.pt,199000,drone_1,1,vy,5118976,0.06158056855201721,0.2946564555168152,0.41074514389038086,0.7228730916976929,2.0,0.11376740783452988
agent_200000.pt,199000,drone_1,2,vz,5118976,0.062057673931121826,0.22193285822868347,0.3018013536930084,0.5319567322731018,2.0,0.09570875018835068
agent_200000.pt,199000,drone_1,3,yaw_rate,5118976,0.04462692141532898,0.15898293256759644,0.21959352493286133,0.39518997073173523,1.5859875679016113,0.06967367976903915
agent_200000.pt,199000,drone_1,4,gimbal_yaw_rate,5118976,0.045902661979198456,0.16599929332733154,0.22842727601528168,0.40491777658462524,1.4326649904251099,0.07211703807115555
agent_200000.pt,199000,drone_1,5,gimbal_pitch_rate,5118976,0.04130938649177551,0.14523184299468994,0.19368605315685272,0.3147626519203186,1.097968578338623,0.06256388127803802
agent_200000.pt,199000,drone_1,6,zoom_rate,5118976,0.05971574783325195,0.23077474534511566,0.3215751349925995,0.6278030872344971,2.0,0.0990239605307579
agent_200000.pt,39000,drone_0,0,vx,5118976,0.040848761796951294,0.18362510204315186,0.25783348083496094,0.4658435583114624,2.0,0.07451188564300537
agent_200000.pt,39000,drone_0,1,vy,5118976,0.04986095428466797,0.2629314064979553,0.3811836838722229,0.7058577537536621,2.0,0.10248298943042755
agent_200000.pt,39000,drone_0,2,vz,5118976,0.04036799073219299,0.1591942310333252,0.22456645965576172,0.4384009838104248,2.0,0.06879763305187225
agent_200000.pt,39000,drone_0,3,yaw_rate,5118976,0.027751319110393524,0.12082421779632568,0.17249275743961334,0.3260902464389801,1.4231047630310059,0.050241872668266296
agent_200000.pt,39000,drone_0,4,gimbal_yaw_rate,5118976,0.024918504059314728,0.11196275800466537,0.16068272292613983,0.3195996880531311,1.4835729598999023,0.046895720064640045
agent_200000.pt,39000,drone_0,5,gimbal_pitch_rate,5118976,0.02941408008337021,0.12924912571907043,0.17521080374717712,0.2908690273761749,1.1955327987670898,0.051858339458703995
agent_200000.pt,39000,drone_0,6,zoom_rate,5118976,0.042295124381780624,0.19013389945030212,0.2721472680568695,0.5410075783729553,2.0,0.07950988411903381
agent_200000.pt,39000,drone_1,0,vx,5118976,0.0387604720890522,0.18083418905735016,0.25491011142730713,0.46449941396713257,1.9921263456344604,0.07273896038532257
agent_200000.pt,39000,drone_1,1,vy,5118976,0.04621904343366623,0.2566022574901581,0.3754912316799164,0.7062458992004395,2.0,0.09914638847112656
agent_200000.pt,39000,drone_1,2,vz,5118976,0.03827083855867386,0.15598136186599731,0.22178304195404053,0.4434036910533905,2.0,0.06703279167413712
agent_200000.pt,39000,drone_1,3,yaw_rate,5118976,0.026137709617614746,0.11803524941205978,0.1698189377784729,0.3253416121006012,1.402516484260559,0.04873146861791611
agent_200000.pt,39000,drone_1,4,gimbal_yaw_rate,5118976,0.022889208048582077,0.10881941020488739,0.15684765577316284,0.3138924837112427,1.4566240310668945,0.04488697648048401
agent_200000.pt,39000,drone_1,5,gimbal_pitch_rate,5118976,0.027272658422589302,0.12640661001205444,0.17237628996372223,0.2899576425552368,1.070739984512329,0.049984462559223175
agent_200000.pt,39000,drone_1,6,zoom_rate,5118976,0.040629491209983826,0.1878056824207306,0.2702217102050781,0.5458356738090515,2.0,0.07817913591861725
agent_40000.pt,39000,drone_0,0,vx,5118976,0.013311773538589478,0.05689406022429466,0.12189316749572754,0.3471652567386627,1.292686939239502,0.03039553202688694
agent_40000.pt,39000,drone_0,1,vy,5118976,0.01679895631968975,0.0695670023560524,0.1398337483406067,0.4254831373691559,1.603928565979004,0.03718283399939537
agent_40000.pt,39000,drone_0,2,vz,5118976,0.01988304778933525,0.07431660592556,0.12638211250305176,0.3494727909564972,1.4555723667144775,0.03738764673471451
agent_40000.pt,39000,drone_0,3,yaw_rate,5118976,0.01810459792613983,0.06809215247631073,0.1185622364282608,0.3457769751548767,1.4063944816589355,0.03487984463572502
agent_40000.pt,39000,drone_0,4,gimbal_yaw_rate,5118976,0.01699802279472351,0.06401948630809784,0.11804890632629395,0.33259129524230957,1.3530280590057373,0.03324931487441063
agent_40000.pt,39000,drone_0,5,gimbal_pitch_rate,5118976,0.01787923090159893,0.07707801461219788,0.16788047552108765,0.5227805972099304,1.5853848457336426,0.04233419895172119
agent_40000.pt,39000,drone_0,6,zoom_rate,5118976,0.023044448345899582,0.07769377529621124,0.1328733116388321,0.35642141103744507,1.9774839878082275,0.040341831743717194
agent_40000.pt,39000,drone_1,0,vx,5118976,0.013323504477739334,0.0566888153553009,0.12080018222332001,0.344008207321167,1.2663874626159668,0.030239306390285492
agent_40000.pt,39000,drone_1,1,vy,5118976,0.01688058115541935,0.06938011944293976,0.13712924718856812,0.41730618476867676,1.5000509023666382,0.036905329674482346
agent_40000.pt,39000,drone_1,2,vz,5118976,0.02007419615983963,0.07445816695690155,0.12523359060287476,0.3464372754096985,1.3921551704406738,0.03741805627942085
agent_40000.pt,39000,drone_1,3,yaw_rate,5118976,0.018223267048597336,0.06814464926719666,0.1168290227651596,0.33934134244918823,1.451659083366394,0.03470448777079582
