checkpoint,debug_step,agent,channel_idx,channel_label,n_samples,p50,p90,p95,p99,max,mean
agent_200000.pt,199000,drone_0,0,vx,5118976,0.05162537842988968,0.21013197302818298,0.28782594203948975,0.49751919507980347,1.9955713748931885,0.08552668243646622
agent_200000.pt,199000,drone_0,1,vy,5118976,0.058730557560920715,0.27663886547088623,0.38726410269737244,0.688217043876648,2.0,0.10763322561979294
agent_200000.pt,199000,drone_0,2,vz,5118976,0.05637339502573013,0.20579993724822998,0.2826778292655945,0.5074476599693298,2.0,0.08852636069059372
agent_200000.pt,199000,drone_0,3,yaw_rate,5118976,0.040971606969833374,0.1474853754043579,0.20523105561733246,0.37620386481285095,1.6882270574569702,0.0647350400686264
agent_200000.pt,199000,drone_0,4,gimbal_yaw_rate,5118976,0.0409155935049057,0.14864574372768402,0.2051553577184677,0.36706340312957764,1.4909840822219849,0.06464115530252457
agent_200000.pt,199000,drone_0,5,gimbal_pitch_rate,5118976,0.03927307575941086,0.13713882863521576,0.18262487649917603,0.29772356152534485,1.0821914672851562,0.05926068127155304
agent_200000.pt,199000,drone_0,6,zoom_rate,5118976,0.05483001470565796,0.21396055817604065,0.29768747091293335,0.5733398199081421,2.0,0.09143778681755066
agent_200000.pt,199000,drone_1,0,vx,5118976,0.05519402027130127,0.22434163093566895,0.30504441261291504,0.5204989910125732,1.9318969249725342,0.09086431562900543
agent_200000.pt,199000,drone_1,1,vy,5118976,0.06158056855201721,0.2946564555168152,0.41074514389038086,0.7228730916976929,2.0,0.11376740783452988
agent_200000.pt,199000,drone_1,2,vz,5118976,0.062057673931121826,0.22193285822868347,0.3018013536930084,0.5319567322731018,2.0,0.09570875018835068
agent_200000.pt,199000,drone_1,3,yaw_rate,5118976,0.04462692141532898,0.15898293256759644,0.21959352493286133,0.39518997073173523,1.5859875679016113,0.06967367976903915
agent_200000.pt,199000,drone_1,4,gimbal_yaw_rate,5118976,0.045902661979198456,0.16599929332733154,0.22842727601528168,0.40491777658462524,1.4326649904251099,0.07211703807115555
agent_200000.pt,199000,drone_1,5,gimbal_pitch_rate,5118976,0.04130938649177551,0.14523184299468994,0.19368605315685272,0.3147626519203186,1.097968578338623,0.06256388127803802
agent_200000.pt,199000,drone_1,6,zoom_rate,5118976,0.05971574783325195,0.23077474534511566,0.3215751349925995,0.6278030872344971,2.0,0.0990239605307579
