checkpoint,debug_step,agent,channel_idx,channel_label,n_samples,p50,p90,p95,p99,max,mean
agent_40000.pt,39000,drone_0,0,vx,5118976,0.013311773538589478,0.05689406022429466,0.12189316749572754,0.3471652567386627,1.292686939239502,0.03039553202688694
agent_40000.pt,39000,drone_0,1,vy,5118976,0.01679895631968975,0.0695670023560524,0.1398337483406067,0.4254831373691559,1.603928565979004,0.03718283399939537
agent_40000.pt,39000,drone_0,2,vz,5118976,0.01988304778933525,0.07431660592556,0.12638211250305176,0.3494727909564972,1.4555723667144775,0.03738764673471451
agent_40000.pt,39000,drone_0,3,yaw_rate,5118976,0.01810459792613983,0.06809215247631073,0.1185622364282608,0.3457769751548767,1.4063944816589355,0.03487984463572502
agent_40000.pt,39000,drone_0,4,gimbal_yaw_rate,5118976,0.01699802279472351,0.06401948630809784,0.11804890632629395,0.33259129524230957,1.3530280590057373,0.03324931487441063
agent_40000.pt,39000,drone_0,5,gimbal_pitch_rate,5118976,0.01787923090159893,0.07707801461219788,0.16788047552108765,0.5227805972099304,1.5853848457336426,0.04233419895172119
agent_40000.pt,39000,drone_0,6,zoom_rate,5118976,0.023044448345899582,0.07769377529621124,0.1328733116388321,0.35642141103744507,1.9774839878082275,0.040341831743717194
agent_40000.pt,39000,drone_1,0,vx,5118976,0.013323504477739334,0.0566888153553009,0.12080018222332001,0.344008207321167,1.2663874626159668,0.030239306390285492
agent_40000.pt,39000,drone_1,1,vy,5118976,0.01688058115541935,0.06938011944293976,0.13712924718856812,0.41730618476867676,1.5000509023666382,0.036905329674482346
agent_40000.pt,39000,drone_1,2,vz,5118976,0.02007419615983963,0.07445816695690155,0.12523359060287476,0.3464372754096985,1.3921551704406738,0.03741805627942085
agent_40000.pt,39000,drone_1,3,yaw_rate,5118976,0.018223267048597336,0.06814464926719666,0.1168290227651596,0.33934134244918823,1.451659083366394,0.03470448777079582
agent_40000.pt,39000,drone_1,4,gimbal_yaw_rate,5118976,0.0169791579246521,0.06384914368391037,0.11700795590877533,0.331523597240448,1.3768935203552246,0.03314044699072838
agent_40000.pt,39000,drone_1,5,gimbal_pitch_rate,5118976,0.01797478087246418,0.07706600427627563,0.16600647568702698,0.509430468082428,1.5513596534729004,0.04199884086847305
agent_40000.pt,39000,drone_1,6,zoom_rate,5118976,0.023083457723259926,0.07744493335485458,0.13171570003032684,0.3544386625289917,1.9765822887420654,0.040233828127384186
